"kd_kab","name_kab","kd_prov","centroid"
"3304","Kabupaten Banjarnegara","33 ","[[109.559  ,-7.383],[109.656  ,-7.328]]"
"3302","Kabupaten Banyumas","33 ","[[109.14164  ,-7.33216],[109.23927 ,-7.27722]]"
"3325","Kabupaten Batang","33 ","[[109.84422  ,-6.97347],[109.94143  ,-6.91878]]"
"3316","Kabupaten Blora","33 ","[[111.351  ,-6.987],[111.390  ,-6.965]]"
"3309","Kabupaten Boyolali","33 ","[[110.63762  ,-7.42195],[110.73536  ,-7.36696]]"
"3329","Kabupaten Brebes","33 ","[[108.85859  ,-7.06784],[108.95591 ,-7.01308]]"
"3301","Kabupaten Cilacap","33 ","[[108.8404  ,-7.5910],[108.9384  ,-7.5359]]"
"3321","Kabupaten Demak","33 ","[[110.61014  ,-6.87080],[110.70724  ,-6.81617]]"
"3315","Kabupaten Grobogan","33 ","[[110.897  ,-7.069],[110.995  ,-7.014]]"
"332","Kabupaten Jepara","33 ","[[110.765  ,-6.587],[110.862 ,-6.533]]"
"3313","Kabupaten Karanganyar","33 ","[[111.06969  ,-7.64178],[111.16769 ,-7.58665]]"
"3305","Kabupaten Kebumen","33 ","[[109.554  ,-7.626],[109.652  ,-7.571]]"
"3324","Kabupaten Kendal","33 ","[[110.100  ,-7.022],[110.198  ,-6.968]]"
"331","Kabupaten Klaten","33 ","[[110.5532 ,-7.6989],[110.6512 ,-7.6438]]"
"3319","Kabupaten Kudus","33 ","[[110.7837  ,-6.8433],[110.9778  ,-6.7341]]"
"3308","Kabupaten Magelang","33 ","[[110.16512 ,-7.49301],[110.26294 ,-7.43796]]"
"3318","Kabupaten Pati","33 ","[[110.9836  ,-6.8389],[111.1776  ,-6.7297]]"
"3326","Kabupaten Pekalongan","33 ","[[109.39699  ,-7.00850],[109.49424 ,-6.95378]]"
"3327","Kabupaten Pemalang","33 ","[[109.29664  ,-7.04766],[109.39394  ,-6.99291]]"
"3303","Kabupaten Purbalingga","33 ","[[109.3802  ,-7.2870],[109.4778  ,-7.2321]]"
"3306","Kabupaten Purworejo","33 ","[[109.9255  ,-7.7192],[110.0236  ,-7.6641]]"
"3317","Kabupaten Rembang","33 ","[[111.4022  ,-6.8205],[111.4992  ,-6.7659]]"
"3322","Kabupaten Semarang","33 ","[[110.377  ,-7.245],[110.475 ,-7.190]]"
"3314","Kabupaten Sragen","33 ","[[110.965  ,-7.357],[111.063  ,-7.302]]"
"3311","Kabupaten Sukoharjo","33 ","[[110.78982 ,-7.66388],[110.88784 ,-7.60873]]"
"3328","Kabupaten Tegal","33 ","[[109.1491  ,-7.0076],[109.2464  ,-6.9529]]"
"3323","Kabupaten Temanggung","33 ","[[110.093  ,-7.301],[110.191  ,-7.246]]"
"3312","Kabupaten Wonogiri","33 ","[[110.093  ,-7.301],[110.191  ,-7.246]]"
"3307","Kabupaten Wonosobo","33 ","[[110.093  ,-7.301],[110.191  ,-7.246]]"
"3371","Kota Magelang","33 ","[[110.149  ,-7.485],[110.246  ,-7.430]]"
"3375","Kota Pekalongan","33 ","[[109.63130  ,-6.92573],[109.72846  ,-6.87106]]"
"3373","Kota Salatiga","33 ","[[109.63130  ,-6.92573],[109,72846  ,-6.87106]]"
"3374","Kota Semarang","33 ","[[110.44951  ,-7.35427],[110.54716  ,-7.29933]]"
"3372","Kota Surakarta","33 ","[[110.44951 ,-7.35427],[110.54716  ,-7.29933]]"
"3376","Kota Tegal","33 ","[[109.06774  ,-6.89686],[109.16486  ,-6.84222]]"
"1201","Kabupaten Tapanuli Tengah","12","[[98.5306 ,1.7064],[98.8969 ,1.9124]]"
"1202","Kabupaten Tapanuli Utara","12","[[98.8784 ,1.8922],[99.2454 ,2.0987]]"
"1203","Kabupaten Tapanuli Selatan","12","[[98.9858 ,1.3140],[99.3504 ,1.5191]]"
"1204","Kabupaten Nias","12","[[97.5899 ,0.9345],[97.9529 ,1.1388]]"
"1205","Kabupaten Langkat","12","[[98.0525 ,3.5622],[98.4266 ,3.7727]]"
"1206","Kabupaten Karo","12","[[98.3844 ,2.1748],[98.7526 ,2.3820]]"
"1207","Kabupaten Deli Serdang","12","[[98.5573 ,3.3699],[98.9306 ,3.5800]]"
"1208","Kabupaten Simalungun","12","[[98.8741 ,2.7633],[99.2448 ,2.9719]]"
"1209","Kabupaten Asahan","12","[[99.0692 ,2.5616],[99.9955 ,3.0828]]"
"121","Kabupaten Labuhanbatu","12","[[99.9657 ,2.2178],[100.3341 ,2.4251]]"
"1211","Kabupaten Dairi","12","[[98.0842 ,2.7477],[98.4549 ,2.9563]]"
"1212","Kabupaten Toba Samosir","12","[[99.1081 ,2.2023],[99.4764 ,2.4095]]"
"1213","Kabupaten Mandailing Natal","12","[[99.4105 ,0.7075],[99.7727 ,0.9112]]"
"1214","Kabupaten Nias Selatan","12","[[97.5368 ,0.7667],[97.8991 ,0.9706]]"
"1215","Kabupaten Pakpak Bharat","12","[[98.0687 ,2.4853],[98.4383 ,2.6932]]"
"1216","Kabupaten Humbang Hasundutan","12","[[98.3844 ,2.1748],[98.7526 ,2.3820]]"
"1217","Kabupaten Samosir","12","[[98.5280 ,2.4728],[98.8974 ,2.6806]]"
"1218","Kabupaten Serdang Bedagai","12","[[98.8407 ,3.2457],[99.2134 ,3.4555]]"
"1219","Kabupaten Batu Bara","12","[[99.2718 ,3.1263],[99.6441 ,3.3358]]"
"122","Kabupaten Padang Lawas Utara","12","[[99.5751 ,1.5228],[99.9405 ,1.7284]]"
"1221","Kabupaten Padang Lawas","12","[[99.6570 ,1.0628],[100.0205 ,1.2674]]"
"1222","Kabupaten Labuhanbatu Selatan","12","[[99.9400 ,1.7858],[100.3066 ,1.9921]]"
"1223","Kabupaten Labuhanbatu Utara","12","[[99.6084 ,2.3426],[99.9773 ,2.5502]]"
"1224","Kabupaten Nias Utara","12","[[97.1730 ,1.2061],[97.5371 ,1.4110]]"
"1225","Kabupaten Nias Barat","12","[[97.3052 ,0.9437],[97.6683 ,1.1480]]"
"1271","Kota Medan","12","[[98.4819 ,3.5618],[98.8568 ,3.7727]]"
"1272","Kota Pematangsiantar","12","[[98.8711 ,2.8515],[99.2421 ,3.0602]]"
"1273","Kota Sibolga","12","[[98.6057 ,1.6360],[98.9717 ,1.8419]]"
"1274","Kota Tanjung Balai","12","[[99.6092 ,2.8542],[99.9803 ,3.0629]]"
"1275","Kota Binjai","12","[[98.3045 ,3.5028],[98.6785 ,3.7132]]"
"1276","Kota Tebing Tinggi","12","[[98.9714 ,3.2240],[99.3440 ,3.4337]]"
"1277","Kota Padang Sidempuan","12","[[99.1064 ,1.2898],[99.4710 ,1.4949]]"
"1278","Kota Gunungsitoli","12","[[97.4212 ,1.1620],[97.7852 ,1.3668]]"
"3601","Kabupaten Pandeglang","36","[[105.5712 ,-6.7394],[105.9585 ,-6.5215]]"
"3602","Kabupaten Lebak","36","[[106.0262 ,-6.6093],[106.4129 ,-6.3917]]"
"3603","Kabupaten Tangerang","36","[[106.3133 ,-6.2998],[106.6987 ,-6.0830]]"
"3604","Kabupaten Serang","36","[[105.9322 ,-6.2579],[106.3174 ,-6.0412]]"
"3671","Kota Tangerang","36","[[106.4578 ,-6.2761],[106.8430 ,-6.0594]]"
"3672","Kota Cilegon","36","[[105.8271 ,-6.0877],[106.2115 ,-5.8714]]"
"3673","Kota Serang","36","[[106.4578 ,-6.2761],[106.8430 ,-6.0594]]"
"3674","Kota Tangerang Selatan","36","[[106.5095 ,-6.3823],[106.8953 ,-6.1653]]"
"3201","Kabupaten Bogor","32","[[106.5859 ,-6.6004],[106.9726 ,-6.3829]]"
"3202","Kabupaten Sukabumi","32","[[106.5328 ,-7.1676],[106.9222 ,-6.9485]]"
"3203","Kabupaten Cianjur","32","[[106.9493 ,-7.3760],[107.3397 ,-7.1564]]"
"3204","Kabupaten Bandung","32","[[107.4246 ,-7.2048],[107.8142 ,-6.9856]]"
"3205","Kabupaten Garut","32","[[107.5490 ,-7.4497],[107.9397 ,-7.2299]]"
"3206","Kabupaten Tasikmalaya","32","[[107.9358 ,-7.6648],[108.3275 ,-7.4445]]"
"3207","Kabupaten Ciamis","32","[[108.2456 ,-7.4130],[108.6361 ,-7.1933]]"
"3208","Kabupaten Kuningan","32","[[108.3840 ,-7.1398],[108.7732 ,-6.9208]]"
"3209","Kabupaten Cirebon","32","[[108.2985 ,-6.7878],[108.6861 ,-6.5697]]"
"321","Kabupaten Majalengka","32","[[108.0952 ,-6.9161],[108.4834 ,-6.6977]]"
"3211","Kabupaten Sumedang","32","[[107.8288 ,-6.9278],[108.2170 ,-6.7094]]"
"3212","Kabupaten Indramayu","32","[[107.9791 ,-6.5147],[108.3655 ,-6.2973]]"
"3213","Kabupaten Subang","32","[[107.5355 ,-6.5451],[107.9220 ,-6.3276]]"
"3214","Kabupaten Purwakarta","32","[[107.2363 ,-6.6818],[107.6234 ,-6.4640]]"
"3215","Kabupaten Karawang","32","[[107.2220 ,-6.2863],[107.6073 ,-6.0695]]"
"3216","Kabupaten Bekasi","32","[[106.9373 ,-6.3524],[107.3229 ,-6.1355]]"
"3217","Kabupaten Bandung Barat","32","[[107.2170 ,-7.0041],[107.6056 ,-6.7855]]"
"3218","Kabupaten Pangandaran","32","[[108.3249 ,-7.7375],[108.7169 ,-7.5169]]"
"3271","Kota Bogor","32","[[106.6171 ,-6.7065],[107.0044 ,-6.4886]]"
"3272","Kota Sukabumi","32","[[106.7274 ,-7.0411],[107.1161 ,-6.8224]]"
"3273","Kota Bandung","32","[[107.4526 ,-7.0162],[107.8413 ,-6.7975]]"
"3274","Kota Cirebon","32","[[108.3597 ,-6.8523],[108.7476 ,-6.6341]]"
"3275","Kota Bekasi","32","[[106.7803 ,-6.3800],[107.1660 ,-6.1630]]"
"3276","Kota Depok","32","[[106.6260 ,-6.5116],[107.0124 ,-6.2942]]"
"3277","Kota Cimahi","32","[[107.3472 ,-6.9926],[107.7358 ,-6.7740]]"
"3278","Kota Tasikmalaya","32","[[108.0306 ,-7.4676],[108.4214 ,-7.2477]]"
"3279","Kota Banjar","32","[[108.3727 ,-7.4762],[108.7635 ,-7.2563]]"
"3501","Kabupaten Pacitan","35","[[110.9864 ,-8.2603],[111.3809 ,-8.0383]]"
"3502","Kabupaten Ponorogo","35","[[111.2967 ,-8.0588],[111.6903 ,-7.8374]]"
"3503","Kabupaten Trenggalek","35","[[111.4641 ,-8.1910],[111.8583 ,-7.9692]]"
"3504","Kabupaten Tulungagung","35","[[111.7077 ,-8.2054],[112.1019 ,-7.9836]]"
"3505","Kabupaten Blitar","35","[[111.9683 ,-8.2043],[112.3626 ,-7.9824]]"
"3506","Kabupaten Kediri","35","[[111.8398 ,-7.9613],[112.2329 ,-7.7401]]"
"3507","Kabupaten Malang","35","[[112.4494 ,-8.0689],[112.8430 ,-7.8474]]"
"3508","Kabupaten Lumajang","35","[[112.9349 ,-8.2140],[113.3292 ,-7.9921]]"
"3509","Kabupaten Jember","35","[[113.4649 ,-8.4156],[113.8601 ,-8.1932]]"
"351","Kabupaten Banyuwangi","35","[[113.9504 ,-8.4618],[114.3459 ,-8.2392]]"
"3511","Kabupaten Bondowoso","35","[[113.6803 ,-8.0167],[114.0759 ,-7.7941]]"
"3512","Kabupaten Situbondo","35","[[113.9004 ,-7.8926],[114.2932 ,-7.6716]]"
"3513","Kabupaten Probolinggo","35","[[113.0814 ,-7.9558],[113.4745 ,-7.7346]]"
"3514","Kabupaten Pasuruan","35","[[112.6325 ,-7.8422],[113.0250 ,-7.6213]]"
"3515","Kabupaten Sidoarjo","35","[[112.4696 ,-7.5592],[112.8608 ,-7.3390]]"
"3516","Kabupaten Mojokerto","35","[[112.2849 ,-7.6918],[112.6767 ,-7.4713]]"
"3517","Kabupaten Jombang","35","[[112.0608 ,-7.7018],[112.4526 ,-7.4813]]"
"3518","Kabupaten Nganjuk","35","[[111.7738 ,-7.6733],[112.1656 ,-7.4529]]"
"3519","Kabupaten Madiun","35","[[111.4614 ,-7.6911],[111.8533 ,-7.4706]]"
"352","Kabupaten Magetan","35","[[111.1609 ,-7.7484],[111.5530 ,-7.5278]]"
"3521","Kabupaten Ngawi","35","[[111.1318 ,-7.5450],[111.5230 ,-7.3249]]"
"3522","Kabupaten Bojonegoro","35","[[111.6258 ,-7.3790],[112.0162 ,-7.1593]]"
"3523","Kabupaten Tuban","35","[[111.7106 ,-7.0905],[112.0996 ,-6.8717]]"
"3524","Kabupaten Lamongan","35","[[112.1106 ,-7.2689],[112.5004 ,-7.0496]]"
"3525","Kabupaten Gresik","35","[[112.3631 ,-7.1922],[112.7526 ,-6.9730]]"
"3526","Kabupaten Bangkalan","35","[[112.3631 ,-7.1922],[112.7526 ,-6.9730]]"
"3527","Kabupaten Sampang","35","[[113.0632 ,-7.1433],[113.4525 ,-6.9243]]"
"3528","Kabupaten Pamekasan","35","[[113.3093 ,-7.1821],[113.6987 ,-6.9630]]"
"3529","Kabupaten Sumenep","35","[[113.6037 ,-7.0976],[113.9927 ,-6.8787]]"
"3571","Kota Kediri","35","[[111.8197 ,-7.9354],[112.2127 ,-7.7143]]"
"3572","Kota Blitar","35","[[111.9658 ,-8.1959],[112.3601 ,-7.9741]]"
"3573","Kota Malang","35","[[112.4289 ,-8.0757],[112.8226 ,-7.8542]]"
"3574","Kota Probolinggo","35","[[113.0087 ,-7.8812],[113.4015 ,-7.6602]]"
"3575","Kota Pasuruan","35","[[112.7087 ,-7.7594],[113.1009 ,-7.5388]]"
"3576","Kota Mojokerto","35","[[112.23816 ,-7.57715],[112.62945 ,-7.35698]]"
"3577","Kota Madiun","35","[[111.3264 ,-7.7465],[111.7185 ,-7.5259]]"
"3578","Kota Surabaya","35","[[112.5265 ,-7.3805],[112.9168 ,-7.1608]]"
"3579","Kota Batu","35","[[112.3360 ,-7.9357],[112.7290 ,-7.7145]]"
"3101","Kabupaten Administrasi Kepulauan Seribu","31","[[106.4809 ,-5.9601],[106.8647 ,-5.7441]]"
"3171","Kota Administrasi Jakarta Pusat","31","[[106.6337 ,-6.2973],[107.0191 ,-6.0805]]"
"3172","Kota Administrasi Jakarta Utara","31","[[106.6508 ,-6.2302],[107.0358 ,-6.0136]]"
"3173","Kota Administrasi Jakarta Barat","31","[[106.5485 ,-6.2606],[106.9337 ,-6.0439]]"
"3174","Kota Administrasi Jakarta Selatan","31","[[106.6172 ,-6.3816],[107.0029 ,-6.1645]]"
"3175","Kota Administrasi Jakarta Timur","31","[[106.6981 ,-6.3759],[107.0838 ,-6.1589]]"
"3401","Kabupaten Kulon Progo","34","[[109.9569 ,-7.9087],[110.3497 ,-7.6876]]"
"3402","Kabupaten Bantul","34","[[110.3976 ,-8.0548],[110.7912 ,-7.8333]]"
"3403","Kabupaten Gunungkidul","34","[[110.3976 ,-8.0548],[110.7912 ,-7.8333]]"
"3404","Kabupaten Sleman","34","[[110.1960 ,-7.7972],[110.5883 ,-7.5765]]"
"3471","Kota Yogyakarta","34","[[110.1735 ,-7.9134],[110.5663 ,-7.6923]]"
"7301","Kabupaten Bantaeng","73","[[119.801506 ,-5.587005],[120.183625 ,-5.372000]]"
"7302","Kabupaten Barru","73","[[119.5309 ,-4.5243],[119.9083 ,-4.3119]]"
"7303","Kabupaten Bone","73","[[119.9403 ,-4.7669],[120.3188 ,-4.5539]]"
"7304","Kabupaten Bulukumba","73","[[120.0312 ,-5.5304],[120.4131 ,-5.3155]]"
"7305","Kabupaten Enrekang","73","[[119.6777 ,-3.5691],[120.0509 ,-3.3591]]"
"7306","Kabupaten Gowa","73","[[119.4725 ,-5.3814],[119.8537 ,-5.1670]]"
"7307","Kabupaten Jeneponto","73","[[119.5112 ,-5.6674],[119.8936 ,-5.4522]]"
"7308","Kabupaten Kepulauan Selayar","73","[[119.8033 ,-2.2896],[120.1711 ,-2.0826]]"
"7309","Kabupaten Luwu","73","[[119.9888 ,-3.2766],[120.3608 ,-3.0673]]"
"731","Kabupaten Luwu Timur","73","[[120.8770 ,-2.5662],[121.2460 ,-2.3586]]"
"7311","Kabupaten Luwu Utara","73","[[119.8033 ,-2.2896],[120.1711 ,-2.0826]]"
"7312","Kabupaten Maros","73","[[119.4877 ,-5.1470],[119.8678 ,-4.9331]]"
