"kd_kab","nama_kab","kd_prov","centroid",""
"6101","Kabupaten Sambas","61","[[109.1679 ,1.3465],[109.5312 ,1.5527]]",""
"6102","Kabupaten Mempawah","61","[[108.9359 ,0.2958],[109.2950 ,0.4996]]",""
"6103","Kabupaten Sanggau","61","[[110.2450 ,0.1504],[110.6035 ,0.3538]]",""
"6104","Kabupaten Ketapang","61","[[110.3157 ,-1.8579],[110.6802 ,-1.6509]]",""
"6105","Kabupaten Sintang","61","[[111.7178 ,-0.1995],[112.0757 ,0.0037]]",""
"6106","Kabupaten Kapuas Hulu","61","[[112.8174 ,0.5970],[113.1776 ,0.8015]]",""
"6107","Kabupaten Bengkayang","61","[[109.3070 ,0.7553],[109.6679 ,0.9602]]",""
"6108","Kabupaten Landak","61","[[109.6238 ,0.4044],[109.9833 ,0.6085]]",""
"6109","Kabupaten Sekadau","61","[[110.7043 ,-0.2886],[111.0625 ,-0.0853]]",""
"611","Kabupaten Melawi","61","[[111.6012 ,-0.8528],[111.9617 ,-0.6482]]",""
"6111","Kabupaten Kayong Utara","61","[[109.5702 ,-1.2346],[109.9322 ,-1.0292]]",""
"6112","Kabupaten Kubu Raya","61","[[109.1900 ,-0.2023],[109.5478 ,0.0008]]",""
"6171","Kota Pontianak","61","[[109.1509 ,-0.1232],[109.5084 ,0.0797]]",""
"6172","Kota Singkawang","61","[[108.8443 ,0.7798],[109.2053 ,0.9847]]",""
