"kd_kab","nama_kab","kd_prov","centroid",""
"6301","Kabupaten Tanah Laut","63","[[114.6777 ,-3.9082],[115.0509 ,-3.6964]]",""
"6302","Kabupaten Kotabaru","63","[[115.8858 ,-3.0953],[116.2555 ,-2.8855]]",""
"6303","Kabupaten Banjar","63","[[114.8731 ,-3.4539],[115.2444 ,-3.2432]]",""
"6304","Kabupaten Barito Kuala","63","[[114.4636 ,-3.2712],[114.8341 ,-3.0609]]",""
"6305","Kabupaten Tapin","63","[[114.9044 ,-3.0945],[115.2741 ,-2.8847]]",""
"6306","Kabupaten Hulu Sungai Selatan","63","[[115.0103 ,-2.8226],[115.3788 ,-2.6134]]",""
"6307","Kabupaten Hulu Sungai Tengah","63","[[115.3158 ,-2.7150],[115.6839 ,-2.5061]]",""
"6308","Kabupaten Hulu Sungai Utara","63","[[114.9793 ,-2.5343],[115.3467 ,-2.3258]]",""
"6309","Kabupaten Tabalong","63","[[115.3307 ,-1.9376],[115.6956 ,-1.7305]]",""
"631","Kabupaten Tanah Bumbu","63","[[115.4892 ,-3.5711],[115.8610 ,-3.3601]]",""
"6311","Kabupaten Balangan","63","[[115.4320 ,-2.4221],[115.7989 ,-2.2138]]",""
"6371","Kota Banjarmasin","63","[[114.3997 ,-3.4234],[114.7708 ,-3.2127]]",""
"6372","Kota Banjarbaru","63","[[114.6104 ,-3.5821],[114.9822 ,-3.3711]]",""
