"kd_kab","nama_kab","kd_prov","centroid",""
"6201","Kabupaten Kotawaringin Barat","62","[[111.4770 ,-2.6875],[111.8450 ,-2.4786]]",""
"6202","Kabupaten Kotawaringin Timur","62","[[112.6361 ,-2.4121],[113.0030 ,-2.2039]]",""
"6203","Kabupaten Kapuas","62","[[114.2666 ,-2.1027],[114.6322 ,-1.8952]]",""
"6204","Kabupaten Barito Selatan","62","[[114.5996 ,-2.0102],[114.9647 ,-1.8029]]",""
"6205","Kabupaten Barito Utara","62","[[114.9410 ,-0.9742],[115.3019 ,-0.7693]]",""
"6206","Kabupaten Katingan","62","[[113.0843 ,-1.8268],[113.4486 ,-1.6200]]",""
"6207","Kabupaten Seruyan","62","[[112.2425 ,-3.1907],[112.6127 ,-2.9806]]",""
"6208","Kabupaten Sukamara","62","[[111.0815 ,-2.7026],[111.4495 ,-2.4937]]",""
"6209","Kabupaten Lamandau","62","[[111.2684 ,-1.8628],[111.6330 ,-1.6559]]",""
"621","Kabupaten Gunung Mas","62","[[113.4384 ,-1.1840],[113.8002 ,-0.9786]]",""
"6211","Kabupaten Pulang Pisau","62","[[113.7749 ,-2.6211],[114.1426 ,-2.4124]]",""
"6212","Kabupaten Murung Raya","62","[[113.9744 ,0.0080],[114.3323 ,0.2112]]",""
"6213","Kabupaten Barito Timur","62","[[114.9701 ,-2.1250],[115.3358 ,-1.9175]]",""
"6271","Kota Palangkaraya","62","[[113.6944 ,-2.3382],[114.0609 ,-2.1302]]",""
