"kd_kab","nama_kab","kd_prov","centroid",""
"6401","Kabupaten Paser","64","[[115.9428 ,-1.9915],[116.3079 ,-1.7843]]",""
"6402","Kabupaten Kutai Kartanegara","64","[[116.6728 ,-0.4963],[117.0318 ,-0.2925]]",""
"6403","Kabupaten Berau","64","[[117.3641 ,1.8267],[117.7293 ,2.0340]]",""
"6407","Kabupaten Kutai Barat","64","[[115.6422 ,-0.7341],[116.0022 ,-0.5298]]",""
"6408","Kabupaten Kutai Timur","64","[[117.0038 ,0.5456],[117.3638 ,0.7499]]",""
"6409","Kabupaten Penajam Paser Utara","64","[[116.4064 ,-1.3872],[116.7690 ,-1.1814]]",""
"6411","Kabupaten Mahakam Ulu","64","[[115.1792 ,0.3742],[115.5385 ,0.5782]]",""
"6471","Kota Balikpapan","64","[[116.6983 ,-1.2439],[117.0603 ,-1.0384]]",""
"6472","Kota Samarinda","64","[[116.9961 ,-0.5541],[117.3554 ,-0.3502]]",""
"6474","Kota Bontang","64","[[117.2887 ,0.0162],[117.6466 ,0.2193]]",""
