"kd_kab","nama_kab","kd_prov","centroid",""
"9101","Kabupaten Merauke","91","[[139.7427 ,-7.8637],[140.1338 ,-7.6418]]",""
"9102","Kabupaten Jayawijaya","91","[[138.6999 ,-4.1938],[139.0743 ,-3.9813]]",""
"9103","Kabupaten Jayapura","91","[[139.8155 ,-3.2179],[140.1857 ,-3.0078]]",""
"9104","Kabupaten Nabire","91","[[135.4414 ,-3.4650],[135.8127 ,-3.2543]]",""
"9105","Kabupaten Kepulauan Yapen","91","[[135.8280 ,-1.8112],[136.1923 ,-1.6044]]",""
"9106","Kabupaten Biak Numfor","91","[[135.7469 ,-1.0290],[136.1081 ,-0.8240]]",""
"9107","Kabupaten Puncak Jaya","91","[[137.6112 ,-3.4365],[137.9824 ,-3.2259]]",""
"9108","Kabupaten Paniai","91","[[136.2787 ,-3.8947],[136.6519 ,-3.6829]]",""
"9109","Kabupaten Mimika","91","[[137.0134 ,-4.6795],[137.3899 ,-4.4658]]",""
"911","Kabupaten Sarmi","91","[[138.8644 ,-2.2900],[139.2308 ,-2.0820]]",""
"9111","Kabupaten Keerom","91","[[140.5913 ,-3.4677],[140.9626 ,-3.2569]]",""
"9112","Kabupaten Pegunungan Bintang","91","[[140.4670 ,-4.8314],[140.8442 ,-4.6173]]",""
"9113","Kabupaten Yahukimo","91","[[139.4066 ,-4.5105],[139.7825 ,-4.2972]]",""
"9114","Kabupaten Tolikara","91","[[138.2369 ,-3.6028],[138.6088 ,-3.3917]]",""
"9115","Kabupaten Waropen","91","[[136.6969 ,-2.8629],[137.0656 ,-2.6536]]",""
"9116","Kabupaten Boven Digoel","91","[[140.2398 ,-6.3732],[140.6240 ,-6.1552]]",""
"9117","Kabupaten Mappi","91","[[139.1118 ,-6.7347],[139.4976 ,-6.5157]]",""
"9118","Kabupaten Asmat","91","[[138.4559 ,-5.5538],[138.8362 ,-5.3379]]",""
"9119","Kabupaten Supiori","91","[[135.4140 ,-0.8414],[135.7744 ,-0.6369]]",""
"912","Kabupaten Mamberamo Raya","91","[[137.8145 ,-2.6460],[138.1823 ,-2.4372]]",""
"9121","Kabupaten Mamberamo Tengah","91","[[138.8637 ,-3.7816],[139.2364 ,-3.5700]]",""
"9122","Kabupaten Yalimo","91","[[139.2951 ,-3.9304],[139.6684 ,-3.7185]]",""
"9123","Kabupaten Lanny Jaya","91","[[138.1434 ,-4.0193],[138.5171 ,-3.8072]]",""
"9124","Kabupaten Nduga","91","[[138.2021 ,-4.5568],[138.5781 ,-4.3434]]",""
"9125","Kabupaten Puncak","91","[[137.3690 ,-3.8992],[137.7421 ,-3.6874]]",""
"9126","Kabupaten Dogiyai","91","[[135.5568 ,-4.1169],[135.9309 ,-3.9046]]",""
"9127","Kabupaten Intan Jaya","91","[[136.6915 ,-3.7213],[137.0639 ,-3.5100]]",""
"9128","Kabupaten Deiyai","91","[[136.2020 ,-4.2009],[136.5764 ,-3.9884]]",""
"9171","Kota Jayapura","91","[[140.6337 ,-2.7617],[141.0020 ,-2.5527]]",""
