"kd_kab","nama_kab","kd_prov","centroid",""
"9201","Kabupaten Sorong","92","[[131.3145 ,-1.3395],[131.6771 ,-1.1338]]",""
"9202","Kabupaten Manokwari","92","[[133.6194 ,-1.0114],[133.9805 ,-0.8064]]",""
"9203","Kabupaten Fak Fak","92","[[132.6707 ,-3.1118],[133.0405 ,-2.9019]]",""
"9204","Kabupaten Sorong Selatan","92","[[132.1549 ,-2.0372],[132.5202 ,-1.8298]]",""
"9205","Kabupaten Raja Ampat","92","[[130.3388 ,-0.9631],[130.6997 ,-0.7583]]",""
"9206","Kabupaten Teluk Bintuni","92","[[133.4560 ,-2.1117],[133.8216 ,-1.9042]]",""
"9207","Kabupaten Teluk Wondama","92","[[134.2856 ,-3.1112],[134.6554 ,-2.9013]]",""
"9208","Kabupaten Kaimana","92","[[134.0530 ,-3.6873],[134.4253 ,-3.4760]]",""
"9209","Kabupaten Tambrauw","92","[[132.6887 ,-1.0072],[133.0498 ,-0.8023]]",""
"921","Kabupaten Maybrat","92","[[132.3494 ,-1.4731],[132.7124 ,-1.2671]]",""
"9211","Kabupaten Manokwari Selatan","92","[[133.8115 ,-1.6760],[134.1753 ,-1.4695]]",""
"9212","Kabupaten Pegunungan Arfak","92","[[133.5594 ,-1.4091],[133.9221 ,-1.2032]]",""
"9271","Kota Sorong","92","[[131.1171 ,-0.9694],[131.4781 ,-0.7645]]",""
