id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
283,6101,Kabupaten Sambas,,,,,kabupaten-sambas,61,4/4/2023 23:07,4/9/2023 21:31
284,6102,Kabupaten Mempawah,,,,,kabupaten-mempawah,61,4/4/2023 23:07,4/9/2023 21:31
285,6103,Kabupaten Sanggau,,,,,kabupaten-sanggau,61,4/4/2023 23:07,4/9/2023 21:31
286,6104,Kabupaten Ketapang,,,,,kabupaten-ketapang,61,4/4/2023 23:07,4/9/2023 21:31
287,6105,Kabupaten Sintang,,,,,kabupaten-sintang,61,4/4/2023 23:07,4/9/2023 21:31
288,6106,Kabupaten Kapuas Hulu,,,,,kabupaten-kapuas-hulu,61,4/4/2023 23:07,4/9/2023 21:31
289,6107,Kabupaten Bengkayang,,,,,kabupaten-bengkayang,61,4/4/2023 23:07,4/9/2023 21:31
290,6108,Kabupaten Landak,,,,,kabupaten-landak,61,4/4/2023 23:07,4/9/2023 21:31
291,6109,Kabupaten Sekadau,,,,,kabupaten-sekadau,61,4/4/2023 23:07,4/9/2023 21:31
292,611,Kabupaten Melawi,,,,,kabupaten-melawi,61,4/4/2023 23:07,4/9/2023 21:31
293,6111,Kabupaten Kayong Utara,,,,,kabupaten-kayong-utara,61,4/4/2023 23:07,4/9/2023 21:31
294,6112,Kabupaten Kubu Raya,,,,,kabupaten-kubu-raya,61,4/4/2023 23:07,4/9/2023 21:31
295,6171,Kota Pontianak,,,,,kota-pontianak,61,4/4/2023 23:07,4/9/2023 21:31
296,6172,Kota Singkawang,,,,,kota-singkawang,61,4/4/2023 23:07,4/9/2023 21:31
