id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
297,6201,Kabupaten Kotawaringin Barat,,,,,kabupaten-kotawaringin-barat,62,4/4/2023 23:07,4/9/2023 21:31
298,6202,Kabupaten Kotawaringin Timur,,,,,kabupaten-kotawaringin-timur,62,4/4/2023 23:07,4/9/2023 21:31
299,6203,Kabupaten Kapuas,,,,,kabupaten-kapuas,62,4/4/2023 23:07,4/9/2023 21:31
300,6204,Kabupaten Barito Selatan,,,,,kabupaten-barito-selatan,62,4/4/2023 23:07,4/9/2023 21:31
301,6205,Kabupaten Barito Utara,,,,,kabupaten-barito-utara,62,4/4/2023 23:07,4/9/2023 21:31
302,6206,Kabupaten Katingan,,,,,kabupaten-katingan,62,4/4/2023 23:07,4/9/2023 21:31
303,6207,Kabupaten Seruyan,,,,,kabupaten-seruyan,62,4/4/2023 23:07,4/9/2023 21:31
304,6208,Kabupaten Sukamara,,,,,kabupaten-sukamara,62,4/4/2023 23:07,4/9/2023 21:31
305,6209,Kabupaten Lamandau,,,,,kabupaten-lamandau,62,4/4/2023 23:07,4/9/2023 21:31
306,621,Kabupaten Gunung Mas,,,,,kabupaten-gunung-mas,62,4/4/2023 23:07,4/9/2023 21:31
307,6211,Kabupaten Pulang Pisau,,,,,kabupaten-pulang-pisau,62,4/4/2023 23:07,4/9/2023 21:31
308,6212,Kabupaten Murung Raya,,,,,kabupaten-murung-raya,62,4/4/2023 23:07,4/9/2023 21:31
309,6213,Kabupaten Barito Timur,,,,,kabupaten-barito-timur,62,4/4/2023 23:07,4/9/2023 21:31
310,6271,Kota Palangkaraya,,,,,kota-palangkaraya,62,4/4/2023 23:07,4/9/2023 21:31
