id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
324,6401,Kabupaten Paser,,,,,kabupaten-paser,64,4/4/2023 23:07,4/9/2023 21:31
325,6402,Kabupaten Kutai Kartanegara,,,,,kabupaten-kutai-kartanegara,64,4/4/2023 23:07,4/9/2023 21:31
326,6403,Kabupaten Berau,,,,,kabupaten-berau,64,4/4/2023 23:07,4/9/2023 21:31
327,6407,Kabupaten Kutai Barat,,,,,kabupaten-kutai-barat,64,4/4/2023 23:07,4/9/2023 21:31
328,6408,Kabupaten Kutai Timur,,,,,kabupaten-kutai-timur,64,4/4/2023 23:07,4/9/2023 21:31
329,6409,Kabupaten Penajam Paser Utara,,,,,kabupaten-penajam-paser-utara,64,4/4/2023 23:07,4/9/2023 21:31
330,6411,Kabupaten Mahakam Ulu,,,,,kabupaten-mahakam-ulu,64,4/4/2023 23:07,4/9/2023 21:31
331,6471,Kota Balikpapan,,,,,kota-balikpapan,64,4/4/2023 23:07,4/9/2023 21:31
332,6472,Kota Samarinda,,,,,kota-samarinda,64,4/4/2023 23:07,4/9/2023 21:31
333,6474,Kota Bontang,,,,,kota-bontang,64,4/4/2023 23:07,4/9/2023 21:31
