id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
452,8101,Kabupaten Maluku Tengah,,,,,kabupaten-maluku-tengah,81,4/4/2023 23:07,4/9/2023 21:31
453,8102,Kabupaten Maluku Tenggara,,,,,kabupaten-maluku-tenggara,81,4/4/2023 23:07,4/9/2023 21:31
454,8103,Kabupaten Kepulauan Tanimbar,,,,,kabupaten-kepulauan-tanimbar,81,4/4/2023 23:07,4/9/2023 21:31
455,8104,Kabupaten Buru,,,,,kabupaten-buru,81,4/4/2023 23:07,4/9/2023 21:31
456,8105,Kabupaten Seram Bagian Timur,,,,,kabupaten-seram-bagian-timur,81,4/4/2023 23:07,4/9/2023 21:31
457,8106,Kabupaten Seram Bagian Barat,,,,,kabupaten-seram-bagian-barat,81,4/4/2023 23:07,4/9/2023 21:31
458,8107,Kabupaten Kepulauan Aru,,,,,kabupaten-kepulauan-aru,81,4/4/2023 23:07,4/9/2023 21:31
459,8108,Kabupaten Maluku Barat Daya,,,,,kabupaten-maluku-barat-daya,81,4/4/2023 23:07,4/9/2023 21:31
460,8109,Kabupaten Buru Selatan,,,,,kabupaten-buru-selatan,81,4/4/2023 23:07,4/9/2023 21:31
461,8171,Kota Ambon,,,,,kota-ambon,81,4/4/2023 23:07,4/9/2023 21:31
462,8172,Kota Tual,,,,,kota-tual,81,4/4/2023 23:07,4/9/2023 21:31
