id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
502,9201,Kabupaten Sorong,,,,,kabupaten-sorong,92,4/4/2023 23:07,4/9/2023 21:31
503,9202,Kabupaten Manokwari,,,,,kabupaten-manokwari,92,4/4/2023 23:07,4/9/2023 21:31
504,9203,Kabupaten Fak Fak,,,,,kabupaten-fak-fak,92,4/4/2023 23:07,4/9/2023 21:31
505,9204,Kabupaten Sorong Selatan,,,,,kabupaten-sorong-selatan,92,4/4/2023 23:07,4/9/2023 21:31
506,9205,Kabupaten Raja Ampat,,,,,kabupaten-raja-ampat,92,4/4/2023 23:07,4/9/2023 21:31
507,9206,Kabupaten Teluk Bintuni,,,,,kabupaten-teluk-bintuni,92,4/4/2023 23:07,4/9/2023 21:31
508,9207,Kabupaten Teluk Wondama,,,,,kabupaten-teluk-wondama,92,4/4/2023 23:07,4/9/2023 21:31
509,9208,Kabupaten Kaimana,,,,,kabupaten-kaimana,92,4/4/2023 23:07,4/9/2023 21:31
510,9209,Kabupaten Tambrauw,,,,,kabupaten-tambrauw,92,4/4/2023 23:07,4/9/2023 21:31
511,921,Kabupaten Maybrat,,,,,kabupaten-maybrat,92,4/4/2023 23:07,4/9/2023 21:31
512,9211,Kabupaten Manokwari Selatan,,,,,kabupaten-manokwari-selatan,92,4/4/2023 23:07,4/9/2023 21:31
513,9212,Kabupaten Pegunungan Arfak,,,,,kabupaten-pegunungan-arfak,92,4/4/2023 23:07,4/9/2023 21:31
514,9271,Kota Sorong,,,,,kota-sorong,92,4/4/2023 23:07,4/9/2023 21:31
