id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
473,9101,Kabupaten Merauke,,,,,kabupaten-merauke,91,4/4/2023 23:07,4/9/2023 21:31
474,9102,Kabupaten Jayawijaya,,,,,kabupaten-jayawijaya,91,4/4/2023 23:07,4/9/2023 21:31
475,9103,Kabupaten Jayapura,,,,,kabupaten-jayapura,91,4/4/2023 23:07,4/9/2023 21:31
476,9104,Kabupaten Nabire,,,,,kabupaten-nabire,91,4/4/2023 23:07,4/9/2023 21:31
477,9105,Kabupaten Kepulauan Yapen,,,,,kabupaten-kepulauan-yapen,91,4/4/2023 23:07,4/9/2023 21:31
478,9106,Kabupaten Biak Numfor,,,,,kabupaten-biak-numfor,91,4/4/2023 23:07,4/9/2023 21:31
479,9107,Kabupaten Puncak Jaya,,,,,kabupaten-puncak-jaya,91,4/4/2023 23:07,4/9/2023 21:31
480,9108,Kabupaten Paniai,,,,,kabupaten-paniai,91,4/4/2023 23:07,4/9/2023 21:31
481,9109,Kabupaten Mimika,,,,,kabupaten-mimika,91,4/4/2023 23:07,4/9/2023 21:31
482,911,Kabupaten Sarmi,,,,,kabupaten-sarmi,91,4/4/2023 23:07,4/9/2023 21:31
483,9111,Kabupaten Keerom,,,,,kabupaten-keerom,91,4/4/2023 23:07,4/9/2023 21:31
484,9112,Kabupaten Pegunungan Bintang,,,,,kabupaten-pegunungan-bintang,91,4/4/2023 23:07,4/9/2023 21:31
485,9113,Kabupaten Yahukimo,,,,,kabupaten-yahukimo,91,4/4/2023 23:07,4/9/2023 21:31
486,9114,Kabupaten Tolikara,,,,,kabupaten-tolikara,91,4/4/2023 23:07,4/9/2023 21:31
487,9115,Kabupaten Waropen,,,,,kabupaten-waropen,91,4/4/2023 23:07,4/9/2023 21:31
488,9116,Kabupaten Boven Digoel,,,,,kabupaten-boven-digoel,91,4/4/2023 23:07,4/9/2023 21:31
489,9117,Kabupaten Mappi,,,,,kabupaten-mappi,91,4/4/2023 23:07,4/9/2023 21:31
490,9118,Kabupaten Asmat,,,,,kabupaten-asmat,91,4/4/2023 23:07,4/9/2023 21:31
491,9119,Kabupaten Supiori,,,,,kabupaten-supiori,91,4/4/2023 23:07,4/9/2023 21:31
492,912,Kabupaten Mamberamo Raya,,,,,kabupaten-mamberamo-raya,91,4/4/2023 23:07,4/9/2023 21:31
493,9121,Kabupaten Mamberamo Tengah,,,,,kabupaten-mamberamo-tengah,91,4/4/2023 23:07,4/9/2023 21:31
494,9122,Kabupaten Yalimo,,,,,kabupaten-yalimo,91,4/4/2023 23:07,4/9/2023 21:31
495,9123,Kabupaten Lanny Jaya,,,,,kabupaten-lanny-jaya,91,4/4/2023 23:07,4/9/2023 21:31
496,9124,Kabupaten Nduga,,,,,kabupaten-nduga,91,4/4/2023 23:07,4/9/2023 21:31
497,9125,Kabupaten Puncak,,,,,kabupaten-puncak,91,4/4/2023 23:07,4/9/2023 21:31
498,9126,Kabupaten Dogiyai,,,,,kabupaten-dogiyai,91,4/4/2023 23:07,4/9/2023 21:31
499,9127,Kabupaten Intan Jaya,,,,,kabupaten-intan-jaya,91,4/4/2023 23:07,4/9/2023 21:31
500,9128,Kabupaten Deiyai,,,,,kabupaten-deiyai,91,4/4/2023 23:07,4/9/2023 21:31
501,9171,Kota Jayapura,,,,,kota-jayapura,91,4/4/2023 23:07,4/9/2023 21:31
